x,y
30,1
29,1
28,1
27,1
26,1
25,1
24,1
23,1
22,1
21,1
20,1
19,1
18,1
17,1
16,1
15,1
14,1
13,1
11,40
12,40
13,40
14,40
19,40
20,40
21,40
22,40
23,40
24,40
25,40
26,40
27,40
28,40
29,40
30,40
40,11
40,12
40,13
40,15
40,16
40,14
40,17
40,18
40,19
40,20
40,21
40,22
40,23
40,24
40,25
40,26
40,27
40,28
40,29
40,30
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
11,39
10,38
11,38
7,38
8,38
9,38
3,34
3,33
3,32
3,31
2,30
3,30
5,35
4,34
5,34
7,37
7,36
6,36
5,36
30,39
30,38
31,38
32,38
33,38
34,38
34,37
34,36
35,36
36,36
37,34
36,35
36,34
38,34
38,33
38,32
38,31
39,30
38,30
2,11
3,11
3,10
3,7
3,8
3,9
10,3
11,3
11,2
7,3
8,3
9,3
31,3
30,3
30,2
34,3
33,3
32,3
38,10
38,11
39,11
38,7
38,8
38,9
4,7
5,7
5,6
6,5
7,5
7,4
5,5
34,4
34,5
35,5
37,7
36,7
36,6
36,5
12,1
11,1
15,40
16,40
17,40
18,40
6,11
7,11
6,10
7,10
8,10
8,11
9,11
9,10
8,9
8,8
9,8
9,9
10,9
11,9
11,8
10,8
10,7
10,6
11,6
11,7
9,14
8,14
8,15
9,15
14,9
14,8
15,8
15,9
12,12
12,13
13,13
13,12
14,12
14,13
15,13
15,12
12,14
12,15
13,15
13,14
5,15
4,15
4,14
5,14
5,16
4,16
4,17
5,17
4,18
4,19
5,19
5,18
6,19
7,18
6,18
7,19
10,19
10,18
11,18
11,19
15,20
14,20
14,21
15,21
18,21
18,20
18,22
18,23
18,19
18,18
19,18
20,18
21,18
22,18
23,18
23,19
23,20
23,21
23,22
23,23
22,23
21,23
20,23
19,23
17,17
16,17
16,16
17,16
20,15
21,15
21,14
20,14
14,4
14,5
15,5
15,4
16,4
17,4
18,4
19,4
19,5
18,5
17,5
16,5
18,6
19,6
18,7
19,7
18,11
19,11
19,10
18,10
22,7
22,6
22,5
22,4
23,4
23,5
23,6
23,7
24,4
24,5
25,5
25,4
26,4
26,5
27,5
27,4
4,22
5,22
6,22
7,22
7,23
6,23
5,23
4,23
4,24
5,24
5,25
4,25
4,26
5,26
5,27
4,27
8,27
8,26
9,26
9,27
10,23
10,22
11,22
11,23
22,11
22,10
23,10
23,11
27,8
26,8
26,9
27,9
24,17
24,16
25,16
25,17
24,24
24,25
25,25
25,24
17,24
17,25
16,25
16,24
21,26
20,26
20,27
21,27
27,20
27,21
26,20
26,21
26,13
27,13
27,12
26,12
28,12
28,13
28,14
28,15
29,15
29,13
29,12
29,14
26,28
27,28
27,29
26,29
28,29
29,29
29,28
28,28
28,27
28,26
29,26
29,27
14,28
15,28
15,29
14,29
13,29
12,29
12,28
13,28
13,27
13,26
12,26
12,27
14,32
14,33
15,33
15,32
26,32
26,33
27,33
27,32
32,26
32,27
33,27
33,26
32,15
32,14
33,14
33,15
18,30
18,31
19,31
19,30
22,30
22,31
23,31
23,30
30,22
30,23
31,23
31,22
30,19
31,19
30,18
31,18
34,23
34,22
35,22
35,23
36,23
37,23
37,22
36,22
36,24
36,25
36,26
36,27
37,27
37,26
37,25
37,24
34,19
34,18
35,18
35,19
36,19
37,19
37,18
36,18
36,17
36,16
36,15
36,14
37,14
37,15
37,16
37,17
18,34
18,35
19,35
19,34
19,36
19,37
18,37
17,37
16,37
15,37
14,37
14,36
15,36
16,36
17,36
18,36
22,34
22,35
22,36
23,36
22,37
23,37
23,35
23,34
24,37
25,37
26,37
27,37
27,36
26,36
25,36
24,36
9,32
8,32
8,33
9,33
8,31
8,30
9,30
9,31
10,32
11,32
11,33
10,33
11,34
10,34
10,35
11,35
7,30
7,31
6,31
6,30
30,33
30,32
31,32
31,33
32,33
33,33
33,32
32,32
32,31
32,30
33,30
33,31
34,31
35,31
35,30
34,30
30,34
30,35
31,35
31,34
32,11
32,10
32,9
32,8
31,8
30,8
30,9
31,9
33,9
33,8
33,10
33,11
34,11
35,11
35,10
34,10
31,7
30,7
30,6
31,6
22,19
21,19
20,19
19,19
19,20
19,21
20,22
22,22
22,21
21,21
19,22
21,22
20,21
20,20
21,20
22,20
0,0
2,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
36,0
37,0
38,0
39,0
40,0
41,0
41,1
41,2
41,3
41,4
41,5
41,6
41,7
41,8
41,9
41,10
41,11
41,12
41,13
41,14
41,15
41,16
41,17
41,18
41,19
41,20
41,21
41,22
41,23
41,24
41,25
41,26
41,27
41,28
41,29
41,30
41,31
41,32
41,33
41,34
41,35
41,36
41,37
41,38
41,39
41,40
41,41
40,41
39,41
38,41
37,41
36,41
35,41
34,41
33,41
32,41
31,41
30,41
29,41
28,41
27,41
26,41
25,41
24,41
23,41
22,41
21,41
20,41
19,41
18,41
17,41
15,41
14,41
12,41
11,41
10,41
8,41
7,41
6,41
5,41
4,41
2,41
1,41
0,40
0,39
0,41
0,38
0,37
0,36
0,35
0,34
0,33
0,31
0,30
0,29
0,27
0,26
0,25
0,24
0,23
0,22
0,21
0,20
0,19
0,18
0,17
0,16
0,15
0,14
0,13
0,11
0,9
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,1
1,0
3,0
4,0
8,1
10,1
7,1
6,1
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
0,10
2,10
2,9
