x,y
8,10
8,9
9,8
9,9
10,9
10,10
9,11
9,10
11,5
12,5
13,5
14,8
14,7
14,6
14,5
14,4
13,4
12,4
11,4
11,1
11,2
12,2
12,1
15,1
15,2
16,2
16,1
14,11
11,14
12,14
13,14
14,12
14,13
14,14
13,15
12,15
14,15
11,15
7,15
6,15
5,15
4,15
4,14
5,14
7,14
6,14
4,11
4,12
4,13
4,4
5,4
6,4
7,4
7,5
6,5
5,5
4,5
4,6
4,7
4,8
10,11
11,10
11,9
10,8
8,15
8,14
5,13
5,12
5,11
15,15
15,14
15,13
15,12
15,11
15,8
15,7
15,6
15,5
15,4
8,5
8,4
5,8
5,7
5,6
17,2
17,3
18,3
18,4
17,4
17,8
18,8
18,7
17,7
17,11
18,11
18,12
17,12
17,15
18,15
18,16
17,16
17,17
16,17
15,17
16,18
15,18
11,17
12,17
12,18
11,18
8,17
7,17
7,18
8,18
3,17
4,17
4,18
3,18
2,15
1,15
1,16
2,16
2,17
1,11
2,11
2,12
1,12
1,8
2,8
2,7
1,7
2,4
1,4
1,3
2,3
3,2
4,2
4,1
3,1
2,2
7,2
8,2
8,1
7,1
