x,y
4,27
3,27
2,26
2,25
2,24
5,27
26,27
25,27
24,27
27,26
27,25
27,24
27,3
27,4
27,5
26,2
24,2
25,2
2,3
2,4
2,5
3,2
4,2
5,2
9,22
9,23
9,24
9,25
9,26
9,27
2,20
3,20
4,20
5,20
7,20
6,20
9,16
9,15
9,14
9,13
9,7
9,6
9,5
9,4
9,3
9,2
14,20
13,20
15,20
16,20
22,20
23,20
24,20
25,20
26,20
27,20
20,27
20,26
20,25
20,24
20,23
20,22
20,16
20,15
20,14
20,13
20,7
20,6
20,5
20,4
20,3
20,2
27,9
26,9
24,9
22,9
16,9
15,9
14,9
7,9
6,9
4,9
3,9
2,9
5,9
23,9
25,9
7,8
7,7
8,7
21,7
22,7
22,8
21,22
22,22
22,21
8,22
7,22
7,21
4,23
5,24
6,25
5,23
6,24
23,24
24,24
24,23
25,23
23,25
24,5
23,5
24,6
25,6
23,4
5,5
5,6
6,5
4,6
6,4
0,16
1,16
2,16
2,13
1,13
0,13
13,29
13,28
13,27
16,27
16,28
16,29
29,16
28,16
27,16
29,13
28,13
27,13
13,2
13,1
13,0
16,2
16,1
16,0
19,16
19,13
16,10
13,10
10,13
13,19
16,19
10,16
19,20
19,19
20,19
9,19
10,19
10,20
10,9
10,10
9,10
19,9
19,10
20,10
13,9
5,17
5,18
5,19
5,10
5,11
5,12
10,24
12,24
11,24
17,24
18,24
19,24
24,19
24,18
24,17
24,12
24,11
24,10
19,5
18,5
17,5
12,5
10,5
11,5
3,26
3,28
1,26
3,3
1,3
3,1
26,3
26,1
28,3
26,26
26,28
28,26
3,16
3,13
13,3
16,3
26,13
26,16
13,26
16,26
